ID_GRUPO,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-102-106699-1-301,2024,106699,1,301,0,88,101,35.0
2024-0-102-106101-56-105,2024,106101,56,105,1,20,12,32.5
2024-0-102-106104-55-108,2024,106104,55,108,1,18,19,17.0
2024-0-102-106104-55-109,2024,106104,55,109,1,21,22,17.0
2024-0-103-105044-69-932,2024,105044,69,932,1,0,100,21.0
2024-0-115-102741-55-424,2024,102741,55,424,1,20,19,12.0
2024-0-115-103805-54-411,2024,103805,54,411,1,40,40,50.0
2024-0-115-102744-54-431,2024,102744,54,431,1,39,42,50.0
2024-0-111-42979-1-1,2024,42979,1,1,0,17,8,60.0
2024-0-115-103807-1-43,2024,103807,1,43,1,83,84,30.0
2024-0-115-104524-55-614,2024,104524,55,614,1,19,2,12.0
2024-0-111-102061-1-41,2024,102061,1,41,1,71,77,15.0
2024-0-111-102067-56-713,2024,102067,56,713,1,19,18,7.0
2024-0-113-107526-60-113,2024,107526,60,113,1,19,16,10.0
2024-0-114-102097-54-101,2024,102097,54,101,1,90,97,17.0
2024-0-114-102361-1-1,2024,102361,1,1,1,35,22,32.5
2024-0-113-100783-55-141,2024,100783,55,141,1,15,6,12.0
2024-0-113-100945-56-411,2024,100945,56,411,1,21,22,4.0
2024-0-114-102313-54-1,2024,102313,54,1,1,59,0,17.0
2024-0-102-106718-73-510,2024,106718,73,510,0,68,5,48.0
2024-0-102-106711-1-201,2024,106711,1,201,0,0,52,21.0
2024-0-113-101884-54-501,2024,101884,54,501,1,25,61,6.0
2024-0-102-106724-73-207,2024,106724,73,207,0,35,1,15.0
2024-0-102-106728-56-118,2024,106728,56,118,1,23,14,8.0
2024-0-115-104368-54-81,2024,104368,54,81,1,0,15,49.5
2024-0-114-102472-1-90,2024,102472,1,90,1,0,0,21.0
2024-0-103-100118-54-1,2024,100118,54,1,1,14,19,14.0
2024-0-102-106099-69-101,2024,106099,69,101,1,0,268,21.0
2024-0-101-106323-54-90,2024,106323,54,90,1,0,0,21.0
2024-0-111-105048-69-62,2024,105048,69,62,1,0,65,21.0
2024-0-101-106903-1-1,2024,106903,1,1,1,0,0,21.0
2024-0-111-102018-61-17,2024,102018,61,17,0,0,4,150.0
2024-0-107-102611-56-4,2024,102611,56,4,1,21,20,2.0
2024-0-102-106707-73-743,2024,106707,73,743,0,0,1,68.0
2024-0-103-101029-60-1,2024,101029,60,1,1,17,27,42.0
2024-0-103-101029-1-1,2024,101029,1,1,1,68,54,4.0
2024-0-114-105768-1-50,2024,105768,1,50,1,45,31,32.5
2024-0-114-105783-54-101,2024,105783,54,101,1,76,89,15.0
2024-0-113-44051-56-1,2024,44051,56,1,1,13,0,2.0
2024-0-113-44087-1-1,2024,44087,1,1,1,49,0,21.0
2024-0-113-44089-55-1,2024,44089,55,1,1,14,0,10.0
2024-0-101-100552-81-2,2024,100552,81,2,1,17,19,150.0
2024-0-102-106712-73-735,2024,106712,73,735,0,0,1,54.0
2024-0-103-101061-60-1,2024,101061,60,1,1,45,61,14.0
2024-0-103-101064-60-1,2024,101064,60,1,1,35,34,14.0
2024-0-103-106762-69-122,2024,106762,69,122,1,0,84,21.0
2024-0-103-104861-1-1,2024,104861,1,1,1,40,35,26.0
2024-0-115-102704-54-331,2024,102704,54,331,1,11,23,12.0
2024-0-115-102789-54-421,2024,102789,54,421,1,43,40,6.0
2024-0-103-106757-60-1,2024,106757,60,1,1,24,23,6.0
2024-0-103-103282-55-2,2024,103282,55,2,1,20,21,12.0
2024-0-115-44777-1-1,2024,44777,1,1,1,30,32,35.0
2024-0-115-101739-1-1,2024,101739,1,1,1,25,31,26.0
2024-0-115-101742-54-11,2024,101742,54,11,1,47,59,12.0
2024-0-115-101743-1-11,2024,101743,1,11,1,66,72,26.0
2024-0-115-101744-55-11,2024,101744,55,11,1,17,19,12.0
2024-0-111-44315-1-1,2024,44315,1,1,0,31,30,97.5
2024-0-111-44330-1-1,2024,44330,1,1,0,15,16,65.0
2024-0-115-104348-1-81,2024,104348,1,81,1,65,53,26.0
2024-0-115-102775-1-41,2024,102775,1,41,1,86,77,26.0
2024-0-111-101987-1-62,2024,101987,1,62,1,65,73,10.0
2024-0-102-103597-56-101,2024,103597,56,101,1,22,25,20.0
2024-0-101-106633-54-1,2024,106633,54,1,1,0,13,25.0
2024-0-101-103371-54-90,2024,103371,54,90,1,0,0,21.0
2024-0-102-106699-69-201,2024,106699,69,201,0,0,76,21.0
2024-0-103-44793-54-1,2024,44793,54,1,1,15,20,71.5
2024-0-103-44793-60-1,2024,44793,60,1,1,15,20,43.5
2024-0-111-44242-68-101,2024,44242,68,101,1,0,0,21.0
2024-0-103-102506-54-1,2024,102506,54,1,1,69,70,11.0
2024-0-115-102769-54-452,2024,102769,54,452,1,37,32,12.0
2024-0-111-101644-56-311,2024,101644,56,311,0,30,29,36.0
2024-0-111-101646-1-4,2024,101646,1,4,1,36,30,42.5
2024-0-111-101653-1-1,2024,101653,1,1,0,68,61,60.0
2024-0-111-105045-56-103,2024,105045,56,103,0,25,27,30.0
2024-0-111-105045-55-711,2024,105045,55,711,0,28,28,15.0
2024-0-103-106764-55-2,2024,106764,55,2,1,19,12,8.0
2024-0-102-106712-73-7004,2024,106712,73,7004,0,0,1,54.0
2024-0-102-106702-73-747,2024,106702,73,747,0,0,1,15.0
2024-0-102-106702-73-755,2024,106702,73,755,0,0,1,15.0
2024-0-102-106105-56-103,2024,106105,56,103,1,20,19,21.0
2024-0-102-106104-54-103,2024,106104,54,103,1,37,40,8.0
2024-0-102-106695-1-501,2024,106695,1,501,1,69,62,59.0
2024-0-102-106707-73-301,2024,106707,73,301,0,95,103,68.0
2024-0-102-106703-56-501,2024,106703,56,501,1,22,15,23.0
2024-0-102-106119-56-110,2024,106119,56,110,1,22,32,19.5
2024-0-102-106098-56-110,2024,106098,56,110,0,21,27,13.0
2024-0-110-101510-54-1,2024,101510,54,1,1,0,34,49.5
2024-0-103-105044-55-1,2024,105044,55,1,1,25,27,48.0
2024-0-115-102740-54-452,2024,102740,54,452,1,37,37,12.0
2024-0-115-103801-54-451,2024,103801,54,451,1,39,25,15.0
2024-0-115-103802-54-432,2024,103802,54,432,1,41,34,15.0
2024-0-115-45139-1-1,2024,45139,1,1,1,15,0,24.0
2024-0-111-102052-56-213,2024,102052,56,213,1,22,20,23.0
2024-0-102-106689-55-105,2024,106689,55,105,1,18,17,3.0
2024-0-103-100171-54-1,2024,100171,54,1,1,26,28,16.0
2024-0-103-104398-1-7,2024,104398,1,7,1,0,0,21.0
2024-0-103-104400-56-1,2024,104400,56,1,1,44,43,10.0
2024-0-114-102346-1-13,2024,102346,1,13,1,60,55,32.5
2024-0-114-102355-55-522,2024,102355,55,522,1,25,21,17.0
2024-0-114-102227-54-51,2024,102227,54,51,1,60,0,22.0
2024-0-113-100777-55-112,2024,100777,55,112,1,22,21,9.0
2024-0-113-100927-88-411,2024,100927,88,411,1,29,30,17.0
2024-0-113-100930-55-442,2024,100930,55,442,1,21,5,12.0
2024-0-113-105065-56-641,2024,105065,56,641,1,16,17,5.0
2024-0-114-102352-54-52,2024,102352,54,52,1,51,0,9.0
2024-0-111-105046-69-1,2024,105046,69,1,1,0,81,21.0
2024-0-103-106800-55-2,2024,106800,55,2,1,37,34,8.0
2024-0-103-102815-1-1,2024,102815,1,1,1,0,0,20.0
2024-0-102-106713-73-703,2024,106713,73,703,0,0,1,54.0
2024-0-102-106713-73-707,2024,106713,73,707,0,0,1,54.0
2024-0-102-106713-73-521,2024,106713,73,521,0,67,1,54.0
2024-0-103-44583-55-10,2024,44583,55,10,1,22,0,21.0
2024-0-103-106172-1-51,2024,106172,1,51,1,67,0,21.0
2024-0-115-106049-54-211,2024,106049,54,211,1,41,28,15.0
2024-0-111-105045-55-413,2024,105045,55,413,0,20,21,15.0
2024-0-111-105047-1-2,2024,105047,1,2,1,80,91,30.0
2024-0-111-105047-56-211,2024,105047,56,211,1,27,31,15.0
2024-0-103-106769-55-3,2024,106769,55,3,1,21,19,6.0
2024-0-114-102231-1-70,2024,102231,1,70,1,82,0,21.0
2024-0-114-104651-1-8,2024,104651,1,8,1,47,49,32.5
2024-0-114-104675-54-602,2024,104675,54,602,1,37,33,9.0
2024-0-114-104675-55-521,2024,104675,55,521,1,42,41,8.0
2024-0-113-42940-56-1,2024,42940,56,1,1,25,21,2.0
2024-0-113-101905-55-522,2024,101905,55,522,0,25,21,20.0
2024-0-110-100623-54-30,2024,100623,54,30,1,0,0,21.0
2024-0-110-105872-54-1,2024,105872,54,1,1,0,16,49.5
2024-0-111-106733-55-311,2024,106733,55,311,1,21,19,13.5
2024-0-111-106733-56-312,2024,106733,56,312,1,20,19,26.5
2024-0-102-102928-69-601,2024,102928,69,601,0,0,68,21.0
2024-0-102-103630-73-701,2024,103630,73,701,0,0,66,15.0
2024-0-103-103950-69-422,2024,103950,69,422,1,0,83,21.0
2024-0-103-100156-69-430,2024,100156,69,430,0,0,106,21.0
2024-0-102-102937-73-384,2024,102937,73,384,0,109,1,18.0
2024-0-110-101488-54-4,2024,101488,54,4,1,0,29,15.0
2024-0-102-106731-1-101,2024,106731,1,101,1,117,132,16.0
2024-0-102-106692-54-501,2024,106692,54,501,1,31,34,8.0
2024-0-111-102036-55-411,2024,102036,55,411,0,19,23,41.0
2024-0-111-45453-1-1,2024,45453,1,1,0,26,30,65.0
2024-0-111-45454-1-4,2024,45454,1,4,0,26,20,21.0
2024-0-103-42257-63-2,2024,42257,63,2,1,0,36,300.0
2024-0-109-102601-56-413,2024,102601,56,413,1,0,28,24.0
2024-0-102-102904-73-214,2024,102904,73,214,1,28,1,15.0
2024-0-102-106713-73-511,2024,106713,73,511,0,67,1,54.0
2024-0-103-43681-1-1,2024,43681,1,1,1,12,0,3.12
2024-0-103-43683-60-1,2024,43683,60,1,1,12,0,8.0
2024-0-103-100155-54-2,2024,100155,54,2,1,58,63,22.0
2024-0-103-100157-1-70,2024,100157,1,70,0,0,0,21.0
2024-0-103-104382-56-1,2024,104382,56,1,1,42,46,10.0
2024-0-115-101766-55-22,2024,101766,55,22,1,24,26,8.0
2024-0-115-102768-1-41,2024,102768,1,41,1,82,54,26.0
2024-0-114-102340-54-42,2024,102340,54,42,1,36,34,17.0
2024-0-114-102341-54-1,2024,102341,54,1,1,87,83,17.0
2024-0-113-100758-55-111,2024,100758,55,111,1,21,20,8.0
2024-0-113-100894-1-33,2024,100894,1,33,1,58,50,10.0
2024-0-113-101966-54-621,2024,101966,54,621,1,27,28,11.0
2024-0-113-101967-54-612,2024,101967,54,612,1,34,36,10.0
2024-0-113-101972-55-643,2024,101972,55,643,1,18,11,10.0
2024-0-103-100175-69-441,2024,100175,69,441,1,0,15,21.0
2024-0-103-102505-55-2,2024,102505,55,2,0,41,40,48.0
2024-0-103-105037-56-4,2024,105037,56,4,1,31,30,2.0
2024-0-103-105039-55-5,2024,105039,55,5,1,24,23,4.0
2024-0-115-102721-54-321,2024,102721,54,321,1,19,18,12.0
2024-0-115-103798-56-313,2024,103798,56,313,1,20,0,5.0
2024-0-115-103798-1-31,2024,103798,1,31,1,74,70,30.0
2024-0-115-104544-54-611,2024,104544,54,611,1,50,48,12.0
2024-0-115-104545-55-611,2024,104545,55,611,1,25,26,12.0
2024-0-115-104548-54-611,2024,104548,54,611,1,14,13,12.0
2024-0-115-104550-1-61,2024,104550,1,61,1,19,14,26.0
2024-0-111-101644-55-313,2024,101644,55,313,0,20,19,9.0
2024-0-111-103700-56-713,2024,103700,56,713,0,27,28,40.0
2024-0-103-100091-55-4,2024,100091,55,4,0,25,22,46.0
2024-0-103-106428-71-3,2024,106428,71,3,1,26,0,21.0
2024-0-102-106688-55-118,2024,106688,55,118,1,19,16,3.0
2024-0-102-106714-73-756,2024,106714,73,756,0,0,1,54.0
2024-0-105-104981-81-33,2024,104981,81,33,1,0,5,300.0
2024-0-102-102996-56-202,2024,102996,56,202,1,18,16,10.0
2024-0-102-102929-73-301,2024,102929,73,301,0,119,113,15.0
2024-0-102-102985-55-201,2024,102985,55,201,1,19,17,10.0
2024-0-110-101341-54-3,2024,101341,54,3,1,0,41,49.5
2024-0-115-103799-55-318,2024,103799,55,318,1,20,18,18.0
2024-0-108-101088-1-90,2024,101088,1,90,1,0,0,21.0
2024-0-103-100159-55-1,2024,100159,55,1,1,17,17,30.0
