ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-103800-1-31,2025-05-30,1130,1330,2024,103800,1,31,1,63,69,30.0
2024-0-115-102746-54-411,2025-05-30,830,930,2024,102746,54,411,1,38,41,12.0
2024-0-115-104362-54-81,2025-05-30,1500,1700,2024,104362,54,81,1,0,39,49.5
2024-0-115-104365-54-82,2025-05-30,1300,1500,2024,104365,54,82,1,28,22,49.5
2024-0-115-103819-55-31,2025-05-30,1630,1800,2024,103819,55,31,0,21,24,18.0
2024-0-115-102707-1-51,2025-05-30,1500,1600,2024,102707,1,51,1,0,45,45.0
2024-0-115-106047-54-211,2025-05-30,1330,1430,2024,106047,54,211,1,36,42,23.0
2024-0-115-103819-55-33,2025-05-30,1500,1630,2024,103819,55,33,0,20,23,18.0
2024-0-115-101743-55-21,2025-05-30,1730,1930,2024,101743,55,21,1,22,24,12.0
2024-0-115-102716-1-330,2025-05-30,830,1030,2024,102716,1,330,1,18,23,26.0
2024-0-115-102749-54-451,2025-05-30,930,1030,2024,102749,54,451,1,48,50,12.0
2024-0-115-102775-54-451,2025-05-30,1800,1900,2024,102775,54,451,1,40,29,12.0
2024-0-115-102722-1-320,2025-05-29,1030,1230,2024,102722,1,320,1,33,66,26.0
2024-0-115-103797-1-33,2025-05-29,1030,1130,2024,103797,1,33,1,69,83,26.0
2024-0-115-103817-54-11,2025-05-29,1600,1700,2024,103817,54,11,1,26,23,12.0
2024-0-115-102775-55-422,2025-05-29,1030,1230,2024,102775,55,422,1,21,15,12.0
2024-0-115-102685-1-31,2025-05-29,1330,1430,2024,102685,1,31,1,77,70,35.0
2024-0-115-101750-1-1,2025-05-29,1800,2000,2024,101750,1,1,1,49,46,30.0
2024-0-115-103804-54-415,2025-05-29,830,930,2024,103804,54,415,1,38,20,12.0
2024-0-115-102685-1-51,2025-05-29,1700,1800,2024,102685,1,51,1,0,39,35.0
2024-0-115-102707-54-352,2025-05-29,1700,1800,2024,102707,54,352,1,37,22,30.0
2024-0-115-101768-54-12,2025-05-29,1700,1800,2024,101768,54,12,1,26,28,12.0
2024-0-115-103797-54-312,2025-05-29,1030,1130,2024,103797,54,312,1,40,38,12.0
2024-0-115-102693-54-331,2025-05-29,1030,1130,2024,102693,54,331,1,3,13,12.0
2024-0-115-104344-1-81,2025-05-29,1230,1430,2024,104344,1,81,1,63,65,30.0
2024-0-115-102743-54-431,2025-05-29,1030,1230,2024,102743,54,431,1,38,39,50.0
2024-0-115-103807-1-41,2025-05-29,830,1030,2024,103807,1,41,1,84,78,30.0
2024-0-115-106930-1-61,2025-05-29,830,1030,2024,106930,1,61,1,57,66,24.0
2024-0-115-102708-1-33,2025-05-29,830,1030,2024,102708,1,33,1,86,97,13.0
2024-0-115-104550-1-61,2025-05-29,1500,1700,2024,104550,1,61,1,19,14,26.0
2024-0-115-102699-54-331,2025-05-29,1030,1130,2024,102699,54,331,1,40,58,12.0
2024-0-115-102775-55-423,2025-05-29,1230,1430,2024,102775,55,423,1,21,15,12.0
2024-0-115-106049-54-211,2025-05-29,930,1030,2024,106049,54,211,1,41,28,15.0
2024-0-115-102707-1-51,2025-05-29,1500,1700,2024,102707,1,51,1,0,45,45.0
